"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:50",203,"-12.538","-22.199","-10.571","-7.489","143.229","65.082","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:50",288,"-12.538","-24.988","-11.901","-9.644","143.229","65.082","21.366","21.473","300.0","300.0"
"2025/05/26","13:57:50",388,"-12.538","-24.697","-11.746","-9.010","143.229","65.082","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:50",520,"-12.538","-22.526","-10.711","-7.733","143.229","65.082","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:50",604,"-12.538","-22.025","-10.626","-7.438","143.229","65.082","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:50",703,"-12.538","-23.079","-11.067","-8.501","143.229","65.082","21.368","21.472","300.0","300.0"
"2025/05/26","13:57:50",821,"-12.538","-22.737","-10.939","-8.746","143.229","65.061","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:50",904,"-12.538","-23.359","-11.140","-8.803","143.229","65.061","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:51",3,"-12.538","-23.036","-11.109","-8.816","143.207","65.061","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:51",137,"-12.538","-23.312","-11.179","-8.819","143.207","65.061","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:51",255,"-12.538","-22.761","-10.808","-9.081","143.207","65.061","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:51",354,"-12.538","-22.761","-10.808","-9.081","143.207","65.061","21.367","21.471","300.0","300.0"
"2025/05/26","13:57:51",404,"-12.538","-22.781","-10.879","-8.880","143.207","65.061","21.367","21.472","300.0","311.5"
"2025/05/26","13:57:51",520,"-12.538","-21.383","-10.434","-7.703","143.229","65.082","21.367","21.472","300.0","311.5"
"2025/05/26","13:57:51",654,"-12.538","-22.580","-11.023","-8.562","143.229","65.082","21.367","21.473","300.0","338.2"
"2025/05/26","13:57:51",737,"-12.538","-23.557","-11.390","-8.761","143.229","65.082","21.367","21.473","300.0","338.2"
